"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"AggregatorHost","0","141","2203387445248","3092480","2056192","9240",,,,,,,,,,"Process",,,"8",,,,,"5356",".",,,,"9240","9240","2056192","2056192","75288","75288","2846720","2846720","9981952","9981952","2203406835712","88612864",,,"2056192","2056192",,"0",,"System.Diagnostics.ProcessThreadCollection","141","2203387445248","69222400","False",,,,"3092480","3092480",,,,,,"AggregatorHost","0","","True",,
"ApplicationFrameHost","14","427","2203599572992","13635584","11608064","23656","C:\Windows\system32\ApplicationFrameHost.exe","C:\Windows\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","1.734375","10.0.22621.3810 (WinBuild.160101.0800)","10.0.22621.3810","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2744","8",,"False","2025/02/28 17:16:35",,"25552",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23656","23656","11608064","11608064","427112","427112","13471744","13471744","39747584","39747584","2203615916032","297693184","True","Normal","11608064","11608064","15","14",,"System.Diagnostics.ProcessThreadCollection","427","2203599572992","281350144","False",,,,"13635584","13635584",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:01.0312500","00:00:01.7343750","00:00:00.7031250","ApplicationFrameHost","787524","設定","True",,
"ApplicationFrameHost","15","363","2203557703680","12161024","6561792","19848",,,,,,,,,,"Process",,,"8",,,,,"26208",".",,,,"19848","19848","6561792","6561792","379752","379752","14352384","14352384","41660416","41660416","2203625533440","307310592",,,"6561792","6561792",,"15",,"System.Diagnostics.ProcessThreadCollection","363","2203557703680","239480832","False",,,,"12161024","12161024",,,,,,"ApplicationFrameHost","0","","True",,
"AppVShNotify","14","161","2203428335616","8257536","1961984","9160","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe""",,"Microsoft Corporation","0","16.0.18623.20178","16.0.18623.20178","Microsoft Application Virtualization Client Shell Notifier","Microsoft Office","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3088","8",,"False","2025/04/13 11:50:27",,"16232",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","9160","9160","1961984","1961984","153440","153440","2187264","2187264","9510912","9510912","2203437572096","119349248","True","Normal","1961984","1961984","15","14",,"System.Diagnostics.ProcessThreadCollection","161","2203428335616","110112768","False",,,,"8257536","8257536",,"System.Diagnostics.ProcessModule (AppVShNotify.exe)","00:00:00","00:00:00","00:00:00","AppVShNotify","0","","True",,
"audiodg","0","252","2203508146176","22716416","9469952","15760",,,,,"0.015625",,,,,"Process",,,"8",,,"2025/04/18 0:18:58",,"3324",".",,,,"15760","15760","9469952","9469952","199288","199288","43630592","43630592","47472640","47472640","2203512721408","194498560",,,"9469952","9469952",,"0",,"System.Diagnostics.ProcessThreadCollection","252","2203508146176","189923328","False",,,,"22716416","22716416",,,"00:00:00.0156250","00:00:00.0156250","00:00:00","audiodg","0","","True",,
"backgroundTaskHost","14","315","2480966885376","1699840","18702336","33152","C:\Windows\system32\backgroundTaskHost.exe","""C:\Windows\system32\backgroundTaskHost.exe"" -ServerName:App.AppXfkd8mejksk4ancwf4vtyhmkvtzn1jcbs.mca",,"Microsoft Corporation","0.03125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3080","8",,"False","2025/04/13 22:25:56",,"676",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","33152","33152","18702336","18702336","407992","407992","18702336","18702336","52547584","52547584","2480966885376","-1524211712","True","Normal","18702336","18702336","15","14",,"System.Diagnostics.ProcessThreadCollection","315","2480966885376","-1524211712","False",,,,"1699840","1699840",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00","00:00:00.0312500","00:00:00.0312500","backgroundTaskHost","0","","True",,
"backgroundTaskHost","14","317","2480966885376","1699840","18612224","33152","C:\Windows\system32\backgroundTaskHost.exe","""C:\Windows\system32\backgroundTaskHost.exe"" -ServerName:App.AppXfkd8mejksk4ancwf4vtyhmkvtzn1jcbs.mca",,"Microsoft Corporation","0.078125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3220","8",,"False","2025/04/13 22:55:56",,"3384",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","33152","33152","18612224","18612224","407992","407992","18612224","18612224","52518912","52518912","2480966885376","-1524211712","True","Normal","18612224","18612224","15","14",,"System.Diagnostics.ProcessThreadCollection","317","2480966885376","-1524211712","False",,,,"1699840","1699840",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00.0312500","00:00:00.0781250","00:00:00.0468750","backgroundTaskHost","0","","True",,
"backgroundTaskHost","14","316","2480966885376","33275904","18595840","33152","C:\Windows\system32\backgroundTaskHost.exe","""C:\Windows\system32\backgroundTaskHost.exe"" -ServerName:App.AppXfkd8mejksk4ancwf4vtyhmkvtzn1jcbs.mca",,"Microsoft Corporation","0.046875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3204","8",,"False","2025/04/18 0:14:26",,"27432",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","33152","33152","18595840","18595840","407992","407992","18595840","18595840","52408320","52408320","2480966950912","-1524146176","True","Normal","18595840","18595840","15","14",,"System.Diagnostics.ProcessThreadCollection","316","2480966885376","-1524211712","False",,,,"33275904","33275904",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00","00:00:00.0468750","00:00:00.0468750","backgroundTaskHost","0","","True",,
"backgroundTaskHost","15","315","2480966660096","1675264","18563072","33424",,,,,,,,,,"Process",,,"8",,,,,"29800",".",,,,"33424","33424","18563072","18563072","409280","409280","18563072","18563072","52514816","52514816","2480966660096","-1524436992",,,"18563072","18563072",,"15",,"System.Diagnostics.ProcessThreadCollection","315","2480966660096","-1524436992","False",,,,"1675264","1675264",,,,,,"backgroundTaskHost","0","","True",,
"chrome","14","384","2272279212032","8327168","2441216","10736","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=crashpad-handler ""--user-data-dir=C:\Users\makon\AppData\Local\Google\Chrome\User Data"" /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\makon\AppData\Local\Google\Chrome\User Data\Crashpad"" ""--metrics-dir=C:\Users\makon\AppData\Local\Google\Chrome\User Data"" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=135.0.7049.85 --initial-client-data=0x174,0x178,0x17c,0x150,0x180,0x7ffd95e90ca8,0x7ffd95e90cb4,0x7ffd95e90cc0","System.Diagnostics.Process (chrome)","Google LLC","0.140625","135.0.7049.85","135.0.7049.85","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3280","8",,"False","2025/04/13 14:04:48",,"1888",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","10736","10736","2441216","2441216","152736","152736","2510848","2510848","8933376","8933376","2272312766464","275066880","True","Normal","2441216","2441216","15","14",,"System.Diagnostics.ProcessThreadCollection","384","2272279212032","241512448","False",,,,"8327168","8327168",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0781250","00:00:00.1406250","00:00:00.0625000","chrome","0","","True",,
